Id,Day,Hour,Date,StepTotal,Calories,TotalIntensity,AverageIntensity
4020332650,Monday,21,2016-04-18,0,83,0,0.0
4020332650,Monday,22,2016-04-18,0,83,0,0.0
4020332650,Monday,23,2016-04-18,0,83,0,0.0
4020332650,Tuesday,0,2016-04-19,0,83,0,0.0
4020332650,Tuesday,1,2016-04-19,0,83,0,0.0
4020332650,Tuesday,2,2016-04-19,0,83,0,0.0
4020332650,Tuesday,3,2016-04-19,0,83,0,0.0
4020332650,Tuesday,4,2016-04-19,0,83,0,0.0
4020332650,Tuesday,5,2016-04-19,0,83,0,0.0
4020332650,Tuesday,6,2016-04-19,0,83,0,0.0
4020332650,Tuesday,7,2016-04-19,0,83,0,0.0
4020332650,Tuesday,8,2016-04-19,0,83,0,0.0
4020332650,Tuesday,9,2016-04-19,0,83,0,0.0
4020332650,Tuesday,10,2016-04-19,0,83,0,0.0
4020332650,Tuesday,11,2016-04-19,0,83,0,0.0
4020332650,Tuesday,12,2016-04-19,0,83,0,0.0
4020332650,Tuesday,13,2016-04-19,0,83,0,0.0
4020332650,Tuesday,14,2016-04-19,0,83,0,0.0
4020332650,Tuesday,15,2016-04-19,0,83,0,0.0
4020332650,Tuesday,16,2016-04-19,0,83,0,0.0
4020332650,Tuesday,17,2016-04-19,0,83,0,0.0
4020332650,Tuesday,18,2016-04-19,0,83,0,0.0
4020332650,Tuesday,19,2016-04-19,0,83,0,0.0
